,BDEP,TPO,HL,BHT,RPM,TOR,DEPT,WOB,Annotation
1607130816365,5046.139,20.605418908166403,523.0759864462685,35.968,0.0,0.0,5795.817,12.81,on_slips
1607130816890,5045.975,23.51131131829243,523.6759864307217,36.051,0.0,0.0,5795.817,12.21,on_slips
1607130817396,5045.975,22.190451131871512,523.963986423259,36.14,0.0,0.0,5795.817,11.92,on_slips
1607130817802,5045.804,25.62468761656591,524.7239864035663,36.223,0.0,0.0,5795.817,11.16,on_slips
1607130818310,5045.804,25.09634354199754,525.2359863902994,36.223,0.0,0.0,5795.817,10.65,on_slips
1607130818818,5045.804,21.133762982734773,526.2399863642843,36.403,0.0,0.0,5795.817,9.65,on_slips
1607130819325,5045.624,26.68137576570265,526.6539863535569,36.403,0.0,0.0,5795.817,9.23,on_slips
1607130819833,5045.624,25.62468761656591,527.0219863440213,36.487,0.0,0.0,5795.817,8.87,on_slips
1607130820337,5045.446,24.56799946742917,527.073986342674,36.581,0.0,0.0,5795.817,8.81,on_slips
1607130820845,5045.446,24.56799946742917,527.0099863443323,36.654,0.0,0.0,5795.817,8.88,on_slips
1607130821362,5045.296,20.077074833598036,526.7359863514321,36.816,0.0,0.0,5795.817,9.15,on_slips
1607130821870,5045.296,22.190451131871512,526.1079863677046,36.901,0.0,0.0,5795.817,9.78,on_slips
1607130822378,5045.126,26.15303169113428,525.4199863855316,36.977,0.0,0.0,5795.817,10.47,on_slips
1607130822885,5045.126,18.492042609892927,524.9539863976065,37.056,0.0,0.0,5795.817,10.93,on_slips
1607130823393,5044.971,21.662107057303142,523.2559864416045,37.145,0.0,0.0,5795.817,12.63,on_slips
1607130823801,5044.801,23.51131131829243,522.6459864574105,37.226,0.0,0.0,5795.817,13.24,on_slips
1607130824309,5044.801,22.190451131871512,521.6279864837885,37.302,0.0,0.0,5795.817,14.26,on_slips
1607130824816,5044.801,15.057806125198525,521.1719864956042,37.386,0.0,0.0,5795.817,14.72,on_slips
1607130825324,5044.641,20.605418908166403,520.7719865059688,37.468,0.0,0.0,5795.817,15.12,on_slips
1607130825832,5044.641,20.605418908166403,520.829986504466,37.541,0.0,0.0,5795.817,15.06,on_slips
1607130826339,5044.486,22.190451131871512,521.1439864963297,37.617,0.0,0.0,5795.817,14.75,on_slips
1607130826847,5044.486,24.0396553928608,521.463986488038,37.703,0.0,0.0,5795.817,14.42,on_slips
1607130827355,5044.324,22.190451131871512,522.6419864575142,37.778,0.0,0.0,5795.817,13.25,on_slips
1607130827862,5044.324,13.472773901493415,523.4799864358002,37.857,0.0,0.0,5795.817,12.41,on_slips
1607130828370,5044.17,24.0396553928608,524.9639863973474,37.94,0.0,0.0,5795.817,10.93,on_slips
1607130828877,5044.17,21.662107057303142,525.545986382267,37.94,0.0,0.0,5795.817,10.34,on_slips
1607130829384,5044.005,22.190451131871512,526.5359863566143,38.189,0.0,0.0,5795.817,9.35,on_slips
1607130829891,5043.765,20.077074833598036,526.417986359672,38.262,0.0,0.0,5795.817,9.47,on_slips
1607130830298,5043.765,23.51131131829243,526.0699863686892,38.341,0.0,0.0,5795.817,9.82,on_slips
1607130830806,5043.765,22.190451131871512,525.8039863755818,38.341,0.0,0.0,5795.817,10.08,on_slips
1607130831324,5043.611,25.62468761656591,525.1779863918023,38.503,0.0,0.0,5795.817,10.71,on_slips
1607130831833,5043.611,16.642838348903634,524.8179864011306,38.503,0.0,0.0,5795.817,11.07,on_slips
1607130832350,5043.434,26.15303169113428,524.1919864173511,38.594,0.0,0.0,5795.817,11.7,on_slips
1607130832858,5043.282,24.0396553928608,523.7699864282858,38.746,0.0,0.0,5795.817,12.12,on_slips
1607130833368,5043.282,26.68137576570265,523.5679864335201,38.746,0.0,0.0,5795.817,12.32,on_slips
1607130833877,5043.282,15.057806125198525,523.2559864416045,38.907,0.0,0.0,5795.817,12.63,on_slips
1607130834389,5043.121,22.190451131871512,523.1879864433664,38.907,0.0,0.0,5795.817,12.7,on_slips
1607130834796,5043.121,20.077074833598036,523.1619864440402,38.984,0.0,0.0,5795.817,12.73,on_slips
1607130835304,5042.961,23.51131131829243,523.1419864445584,39.066,0.0,0.0,5795.817,12.75,on_slips
1607130835815,5042.802,23.51131131829243,523.533986434401,39.225,0.0,0.0,5795.817,12.36,on_slips
1607130836323,5042.802,12.151913715072494,523.7139864297369,39.311,0.0,0.0,5795.817,12.18,on_slips
1607130836833,5042.641,24.0396553928608,524.1519864183877,39.387,0.0,0.0,5795.817,11.74,on_slips
1607130837342,5042.641,21.133762982734773,524.3019864145009,39.47,0.0,0.0,5795.817,11.59,on_slips
1607130837850,5042.481,23.51131131829243,523.5719864334163,39.547,0.0,0.0,5795.817,12.32,on_slips
1607130838358,5042.481,14.001117976061783,523.2439864419154,39.589,0.0,0.0,5795.817,12.65,on_slips
1607130838866,5042.419,20.605418908166403,522.7719864541457,39.608,0.0,0.0,5795.817,13.12,on_slips
1607130839378,5042.419,20.077074833598036,522.4919864614009,39.647,0.0,0.0,5795.817,13.4,on_slips
1607130839885,5042.419,22.190451131871512,521.6979864819747,39.686,0.0,0.0,5795.817,14.19,on_slips
1607130840392,5042.342,23.51131131829243,521.7099864816638,39.72,0.0,0.0,5795.817,14.18,on_slips
1607130840800,5042.342,20.605418908166403,521.4539864882971,39.749,0.0,0.0,5795.817,14.44,on_slips
